runyoro_term,english_term,part_of_speech,domain,definition_en,notes
bugwetwa,[GENERAL_NOUN] inheritedproperty,,general,,
busa,[GENERAL_NOUN] for nothing,,general,,
buhaba,[GENERAL_NOUN] folly,,general,,
buhambirize,"[GENERAL_NOUN] force,compulsion",,general,,
buhamizo,"[GENERAL_NOUN] stronghold,support, influence",,general,,
buhanga,[GEOGRAPHY_NOUN] distant country,,general,,
bubangaazi,"[GENERAL_NOUN] longevity, durability",,general,,
buhangami,[GENERAL_NOUN] scarcity,,general,,
buhangirizi,[GENERAL_NOUN] slander,,general,,
buhangwa,"[GENERAL_NOUN] inherent,nature",,general,,
buhara,"[GENERAL_NOUN] girlhood,maidenhood",,general,,
buhate,[GENERAL_NOUN] spitefulness,,general,,
buheereza,[GENERAL_NOUN] service,,general,,
buhemu,"[GENERAL_NOUN] shame, disgrace",,general,,
bubendeke,"[GENERAL_NOUN] fracture,sprain",,general,,
buhulizi,"[GENERAL_NOUN] order,discipline, obedience",,general,,
buhu nga,[GENERAL_NOUN] flour,,general,,
bubungu,"[GENERAL_NOUN] folly,indecency",,general,,
bobuta,"[GENERAL_NOUN] wound,injury",,general,,
buhuuhirizi,"[NATURE_AND_ENVIRONMENT_NOUN] fine rain,drizzle",,general,,
buhyaka,[GENERAL_NOUN] newness,,general,,
bujagaali,[GENERAL_NOUN] stupidity,,general,,
bujojo,[GENERAL_NOUN] elephantiasis,,general,,
bujulizi,"[LEGAL_AND_LAW_MATTERS_NOUN] evidence, testimony",,legal,,
bujunaanizibwa,[GENERAL_NOUN] responsibility,,general,,
bujwahi,"[GENERAL_NOUN] weariness, fatigue",,general,,
Bukama,[GOVERNANCE_AND_ADMINISTRATION_NOUN] Kingdom,,general,,
bukatuzi,[GENERAL_NOUN] violence,,general,,
bukaya,[GENERAL_NOUN] fierceness,,general,,
bukazi,"[GENERAL_NOUN] womanhood,female genitals",,general,,
buke,"[GENERAL_NOUN] littleness, fewness",,general,,
bukeeto,[GENERAL_NOUN] stewardship,,general,,
bukerembe,[GENERAL_NOUN] infancy,,general,,
bukigi,[GENERAL_NOUN] trypanosomyasis,,general,,
bukiioiiki,[GENERAL_NOUN] sarcasm,,general,,
bukiiouuki,[GENERAL_NOUN] rudeness,,general,,
bukoonyezi,"[GENERAL_NOUN] help,assistance",,general,,
bukooto,"[GENERAL_NOUN] size,bigness",,general,,
Bukristaayo,[GENERAL_NOUN] Christianity,,general,,
bukuku,"[GENERAL_NOUN] stinginess,rancidity",,general,,
bukungani,"[GENERAL_NOUN] discord, strife",,general,,
bukungu,[GENERAL_NOUN] minor chieftainship,,general,,
bukorungutaniza,"[GENERAL_NOUN] cunnningness, craftiness",,general,,
bukwasizo/buyamba,"[GENERAL_NOUN] assistance,support",,general,,
bukwataoe,[GENERAL_NOUN] relationship,,general,,
bukwatwa,"[GENERAL_NOUN] captivity,imprisonment",,general,,
bukyabukya,"[GENERAL_NOUN] daily, always",,general,,
Buraya,[GENERAL_NOUN] Europe,,general,,
bulebule,[GENERAL_NOUN] completely,,general,,
buleegi,[GENERAL_NOUN] begging,,general,,
bulehe,"[GENERAL_NOUN] compensation,reparation",,general,,
bulemeezi,"[GENERAL_NOUN] weight,difficulty",,general,,
bulengi,[GENERAL_NOUN] stinginess,,general,,
burryegaitaho,[COMMON_ANIMALS_NOUN] join,,general,,
buliba,[COMMON_ANIMALS_NOUN] rat trap,,general,,
bulibweoguzi,[GENERAL_NOUN] corruption,,general,,
buliiririzi,[GENERAL_NOUN] greed,,general,,
burlisizo,[GENERAL_NOUN] pasture,,general,,
bulimi,[GENERAL_NOUN] lisp,,general,,
bulimi,[GENERAL_NOUN] cultivation,,general,,
bulindwa,[GENERAL_NOUN] protection,,general,,
bulingiri,[GENERAL_NOUN] unsociability,,general,,
bulinzi,[GENERAL_NOUN] guardianship,,general,,
buryo,"[GENERAL_NOUN] justice, reason",,legal,,
bumanyi,"[GENERAL_NOUN] knowledge,understand recognition",,general,,
bumanyiizi,[GENERAL_NOUN] experience,,general,,
bumanzi,[GENERAL_NOUN] courage,,general,,
butwa,[GENERAL_NOUN] poison,,general,,
bumba,[GENERAL_NOUN] mould,,general,,
bumomi,[GENERAL_NOUN] rust,,general,,
byomu,"[GENERAL_NOUN] oneness, unity",,general,,
bulemu,"[GENERAL_NOUN] lameness,disableness",,general,,
bumwemwe,[GENERAL_NOUN] smile,,general,,
bunabbi,[GENERAL_NOUN] prophecy,,general,,
bunaku,[GENERAL_NOUN] poverty,,general,,
bunanasi,[GENERAL_NOUN] redness,,general,,
bunanu,"[GENERAL_NOUN] trustfulness,confidence",,general,,
bunanuki,[GENERAL_NOUN] foreg,,general,,
bune,[GENERAL_NOUN] liver,,general,,
Bungereza,[GENERAL_NOUN] England,,general,,
bungurya,[GENERAL_NOUN] gulp,,general,,
bunihe,"[GENERAL_NOUN] satisfaction,repletion",,general,,
bunkohoob,[GENERAL_NOUN] inedible termites,,general,,
bunoobi,[GENERAL_NOUN] hatred,,general,,
buotu,"[GENERAL_NOUN] being, humanity",,general,,
bunu,[GENERAL_NOUN] this,,general,,
bunuliirizi,[GENERAL_NOUN] sweetness,,general,,
bunuzi,"[GENERAL_NOUN] flavor, taste",,general,,
bunwekinweki,[GENERAL_NOUN] flattery,,general,,
bunyagwa,[GENERAL_NOUN] captivity,,general,,
buoyakantu,"[GENERAL_NOUN] hasty,temper",,general,,
bunyamarumbu,"[GENERAL_NOUN] stiffness, aching",,general,,
bunyamibwa,[GENERAL_NOUN] good looks,,general,,
bunyankomo,[GENERAL_NOUN] imprisonment,,general,,
bunyansi,[GENERAL_NOUN] grass,,general,,
bunyanzigwa,[GENERAL_NOUN] enemity,,general,,
bunyaruguru,[GENERAL_NOUN] position,,general,,
bunyeete,[GENERAL_NOUN] stoutness,,general,,
bunyigi,"[GENERAL_NOUN] meanness,stinginess, miserliness",,general,,
bunyuunyuguzi,[GENERAL_NOUN] foreg,,general,,
bunyigitiro,[GENERAL_NOUN] foreg,,general,,
"bunyu unyuguru,",[GENERAL_NOUN] tickling sensation,,general,,
buraaro,[GENERAL_NOUN] lodging,,general,,
burabo,"[GENERAL_NOUN] path, passage,way",,general,,
buraguzi,[GENERAL_NOUN] divination,,general,,
buraiha,[GENERAL_NOUN] height,,general,,
buraira,"[GENERAL_NOUN] length, height",,general,,
bugumya,"[GENERAL_NOUN] fixed, firmly",,general,,
burangura,"[HEALTH_AND_MEDICINE_NOUN] opthalmia,trachoma",,health,,
buro,[GENERAL_NOUN] small millet,,general,,
burofu,"[GENERAL_NOUN] filth., dirtiness,slovenness",,general,,
bu rogo,[CULTURE_AND_TRADITION_NOUN] witchcraft,,general,,
buronde,[GENERAL_NOUN] forced labour,,general,,
buruguta,"[GENERAL_NOUN] roar, sound",,general,,
burukwera,[GENERAL_NOUN] holiness,,general,,
burumi,"[GENERAL_NOUN] ache, pain",,general,,
burundu,[HEALTH_AND_MEDICINE_NOUN] smallpox,,health,,
burungi,"[GENERAL_NOUN] beauty, goodness",,general,,
burungurungu,[GENERAL_NOUN] alone,,general,,
bururumi,"[GENERAL_NOUN] fierceness,ferocity, harshness",,general,,
buruutura,"[GENERAL_NOUN] rip, tear",,general,,
busumi,[GENERAL_NOUN] time,,general,,
busumiikiranizo,[GENERAL_NOUN] fastening. Joint,,general,,
busuubuzi,[GENERAL_NOUN] trade,,general,,
busuuhuuki,"[GEOGRAPHY_NOUN] exile, emigration",,general,,
buswale,[GENERAL_NOUN] raffia,,general,,
busuuru,[GENERAL_NOUN] ground-rent,,general,,
busuuti,[GENERAL_NOUN] Arab robe,,general,,
buswagirizi,[GENERAL_NOUN] flattery,,general,,
buta,[GENERAL_VERB] be feeble,,general,,
butaahi,"[GENERAL_NOUN] neighbourhood,neighbourliness",,general,,
butaamanya,[GENERAL_NOUN] foolishness,,general,,
butagasi,[GENERAL_NOUN] warmth,,general,,
butaweza,[GENERAL_NOUN] blindness,,general,,
kukaba,"[GENERAL_NOUN] collapse, fall",,general,,
butaikya,[GENERAL_NOUN] unceasingly,,general,,
"bu taito,","[GENERAL_NOUN] littleness.smallness, fewness",,general,,
butale,[GENERAL_NOUN] iron ore,,general,,
butamilzi,"[GENERAL_NOUN] drunkenness, intoxication",,general,,
butandikiro,[GENERAL_NOUN] starting point,,general,,
butanwa,[GENERAL_NOUN] accidental occurrence,,general,,
butasi,[GENERAL_NOUN] espionage,,general,,
butebezi,[GENERAL_NOUN] preaching,,general,,
buteeraniro,[GENERAL_NOUN] joint,,general,,
buteero,[GENERAL_VERB] to fall,,general,,
buteerre,[GENERAL_NOUN] slipperiness,,general,,
butembane,[GENERAL_NOUN] inbreeding,,general,,
buteodebeki,[GENERAL_NOUN] task,,general,,
butentebeke,"[GENERAL_NOUN] impossibility, difficulty",,general,,
butere,[GENERAL_NOUN] fat tai,,general,,
butida,[GENERAL_NOUN] catapult,,general,,
butigi,"[GENERAL_NOUN] forwardness, perversity",,general,,
butiime,[GENERAL_NOUN] minced meat,,general,,
butiini,"[GENERAL_NOUN] fear, cowardice",,general,,
buto,"[GENERAL_NOUN] childhood,youth",,general,,
butogoro,[GENERAL_NOUN] bloodpudding,,general,,
butooganiro,"[GENERAL_NOUN] excuse, defence",,general,,
botumwa,"[GENERAL_NOUN] conunission,apostleship, ministry",,general,,
buturumuki,"[GENERAL_NOUN] sloth,slackness",,general,,
butungi,[GENERAL_NOUN] wealth,,general,,
buturukaizooba,[GENERAL_NOUN] the East,,general,,
butuzi,[GENERAL_NOUN] button mushrooms,,general,,
butweki,[GENERAL_NOUN] fomication(male),,general,,
buura,[GENERAL_NOUN] give warning,,general,,
buutabu,[GENERAL_NOUN] stoop,,general,,
buyambi,"[GENERAL_NOUN] help, aid,assistance",,general,,
buyanja,"[GENERAL_NOUN] wavelets, ripples",,general,,
buyondo,[GENERAL_NOUN] twisted fringe,,general,,
buyungiro,"[GENERAL_NOUN] joint, splice",,general,,
buza,[GENERAL_NOUN] lose,,general,,
buzaana,[GENERAL_NOUN] slavery,,general,,
buzaarwa,"[GENERAL_NOUN] parentage, birthplace",,general,,
buzigu,"[HEALTH_AND_MEDICINE_NOUN] hostility,enemity; smallpox",,health,,
buzimba,[HEALTH_AND_MEDICINE_NOUN] tuberculosis,,health,,
buzimbira,[GENERAL_NOUN] bulk,,general,,
buzindaazi,[GENERAL_NOUN] hoarseness,,general,,
bwabwanura,[GENERAL_VERB] to crunch,,general,,
bwahuzi,"[GENERAL_NOUN] storing up,stewardship",,general,,
bwakabiri,[GENERAL_NOUN] second time,,general,,
bwakaiso,"[LEGAL_AND_LAW_MATTERS_NOUN] witness,testimony, evidence",,legal,,
bwakyo,[GENERAL_NOUN] tinny flowers,,general,,
bwalingi,"[GENERAL_NOUN] laziness,foolishness",,general,,
bwamata,[GENERAL_NOUN] tonsils,,general,,
bwamba,[GENERAL_NOUN] copious,,general,,
bwanda,[GENERAL_NOUN] yellow stonecrop,,agriculture,,
bwanga,[GENERAL_NOUN] hollows,,general,,
bwangi,[GENERAL_NOUN] refusal,,general,,
bwanyakatagara,[GENERAL_NOUN] priesthood,,general,,
bwarangasa,[GENERAL_NOUN] atmosphere,,general,,
bwarubanga,[GENERAL_NOUN] godhead,,general,,
bwate,[GENERAL_NOUN] jealousy,,general,,
bweculiko,[GENERAL_NOUN] slope,,general,,
bweewiso,[GENERAL_NOUN] expiation,,general,,
bweganyi,[GENERAL_NOUN] self-pity,,general,,
bweganyirizi,"[GENERAL_NOUN] slackness, laziness",,general,,
bwegege,[GENERAL_NOUN] carefully,,general,,
bwegesa,[GENERAL_NOUN] teaching,,general,,
bwegesibwa,[GENERAL_NOUN] civilization,,general,,
bwcgombi,[GENERAL_NOUN] covetousness,,general,,
bwckanasi,"[GENERAL_NOUN] laziness, indolence",,general,,
bwekiiko,"[GENERAL_NOUN] bend, curve,tum",,general,,
bwckobi,[GENERAL_NOUN] conspiracy,,general,,
bwenda,"[GENERAL_NOUN] generosity,liberality, bounty",,general,,
bwenderezi,"[GENERAL_NOUN] oppression,bullying",,general,,
bwerebwere,[GENERAL_NOUN] openly,,general,,
bwereme,"[GENERAL_NOUN] willfulness,rebellion, impudence",,general,,
bweremera,[GENERAL_NOUN] sole ownership,,general,,
bwerengerezi,"[GENERAL_NOUN] bullying, scornfulness",,general,,
bwerindwa,[GENERAL_NOUN] fragility,,general,,
bwesaganirizo,[GENERAL_NOUN] rustling,,general,,
bwesengeze,[GENERAL_NOUN] leasehold land,,general,,
bwesige,"[GENERAL_NOUN] trust,confidence, assurance",,general,,
bwesigwa,"[GENERAL_NOUN] trustworthiness, faithfulness",,general,,
bwesumikiri,[GENERAL_NOUN] lumps,,general,,
bwibi/busuma,[GENERAL_NOUN] theft,,general,,
bwigamiro/ buyamba,[GENERAL_NOUN] support,,general,,
bwigamo,[GENERAL_NOUN] shelter,,general,,
bwigara,[HEALTH_AND_MEDICINE_NOUN] smallpox,,health,,
bwigurumba,[GENERAL_NOUN] bigness,,general,,
bwiguu,[GENERAL_NOUN] bully,,general,,
bwihulebwona,[COMMON_ANIMALS_NOUN] stinging centipede,,general,,
bwijukuru,"[GENERAL_NOUN] ancestry,generations",,general,,
bwikazi,[GENERAL_NOUN] foreg,,general,,
bwikizo,[GENERAL_NOUN] refuge,,general,,
bwiko,"[GENERAL_NOUN] mutual hatred,enmity",,general,,
bwimi,"[GENERAL_NOUN] meanness,stinginess",,general,,
bwina,"[GENERAL_NOUN] linleholes, tunnels",,general,,
bwinazi,[GENERAL_NOUN] poverty,,general,,
bwingi,[GENERAL_NOUN] plenty,,general,,
bwingira,[GENERAL_NOUN] cave. Den,,general,,
bwinike,[GENERAL_NOUN] serfdom,,general,,
bwiru,[GENERAL_NOUN] slavery,,general,,
bwisi,[GENERAL_NOUN] murder,,general,,
bwisiki,[GENERAL_NOUN] girlhood,,general,,
bwogi,"[GENERAL_NOUN] sharpness, edge",,general,,
bwogo,"[GENERAL_NOUN] tumult, uproar",,general,,
bwojo,[GENERAL_NOUN] boyhood,,general,,
bwoki,[GENERAL_NOUN] honey,,general,,
bwomangane,[GENERAL_NOUN] toughness,,general,,
bwomi,[GENERAL_NOUN] dryness,,general,,
bwomere,[GENERAL_NOUN] dryness,,general,,
bwomuntu,[GENERAL_NOUN] humanity,,general,,
bwongo,[GENERAL_NOUN] brain,,general,,
bworobi,"[GENERAL_NOUN] softness, tenderness",,general,,
bworoozi,[GENERAL_NOUN] guardianshjp,,general,,
bwoya,[GENERAL_NOUN] hair,,general,,
byamba/buroofu,[GENERAL_NOUN] dirt,,general,,
byaoa,"[GENERAL_NOUN] fruit, offspring",,general,,
byara,[GENERAL_NOUN] fingers,,general,,
byeoda,[GENERAL_NOUN] entrails,,general,,
byobwomeezi,"[GENERAL_NOUN] health,sanitation matters",,health,,
byokera,[GENERAL_VERB] to attack,,general,,
byokurya,[GENERAL_NOUN] food,,general,,
byorwaoju,[GENERAL_NOUN] immorality,,general,,
byoya,"[GENERAL_NOUN] feathers,fur(animal hair)",,general,,
banu,[GENERAL_NOUN] these ones,,general,,
bandwa,[GENERAL_NOUN] chwezi priests,,general,,
baro,[GENERAL_NOUN] your husband,,general,,
batembuzi,"[GENERAL_NOUN] pioneers, harbigners",,general,,
bazaire,[GENERAL_NOUN] parents,,general,,
bbaasi!,[GENERAL_NOUN] enough,,general,,
bbaibbuli,[GENERAL_NOUN] bible,,general,,
bbasitoora,[GENERAL_NOUN] pistol,,general,,
bbogoya,[GENERAL_NOUN] plantain,,agriculture,,
bbwa,[GENERAL_NOUN] openly,,general,,
biringi,[GENERAL_NOUN] sickle,,general,,
bibiri,[GENERAL_NOUN] two hundred,,general,,
bigo,"[GENERAL_NOUN] place, city",,general,,
bikumi bibiri,[GENERAL_NOUN] two hundred,,general,,
bikumi bina,[GENERAL_NOUN] four hundred,,general,,
bikumi bisatu,[GENERAL_NOUN] three hundred,,general,,
bikumi bitaano,[GENERAL_NOUN] five hundred,,general,,
binkwatiireki,[GENERAL_NOUN] carelessly,,general,,
binzaari,[GENERAL_NOUN] orange colour,,general,,
binu,[GENERAL_NOUN] these ones,,general,,
biisopu,[GENERAL_NOUN] bishop,,general,,
bonka,[GENERAL_NOUN] they alone,,general,,
boojo,[GENERAL_NOUN] please,,general,,
bucuzi,[GENERAL_NOUN] upside down,,general,,
bugazi,[GENERAL_NOUN] facing up,,general,,
bugingo,"[GENERAL_NOUN] dangerous, deadly",,general,,
bugwaizooba,[GENERAL_NOUN] West,,general,,
buheekwa,[GENERAL_NOUN] vehemence,,general,,
buhyaka,"[GENERAL_NOUN] anew, again",,general,,
bukiika,[GENERAL_NOUN] across,,general,,
buli kiro,[GENERAL_NOUN] everyday,,general,,
bundi,[GENERAL_NOUN] another time,,general,,
burugaizooba,[GENERAL_NOUN] East,,general,,
buturukamusanaj busa,[GENERAL_NOUN] for nothing,,general,,
businge,[GENERAL_NOUN] peacefully,,general,,
butaleka,"[GENERAL_NOUN] uncreasingly, continuously",,general,,
butoosa,"[GENERAL_NOUN] everyday, always",,general,,
buri,[GENERAL_NOUN] that time,,general,,
bwangu,[GENERAL_NOUN] quickly,,general,,
bwanyima,[GENERAL_NOUN] afterwards; later,,general,,
bweera,[GENERAL_NOUN] open,,general,,
bwino,"[GENERAL_NOUN] ink,written",,general,,
bwohe,[GENERAL_NOUN] temptation,,general,,
byabazaire,[GENERAL_NOUN] of parents,,general,,
byo,"[GENERAL_NOUN] they, themselves",,general,,
kubonesa,[GENERAL_NOUN] torture,,general,,
capa/kutera,[GENERAL_NOUN] slap,,general,,
cebaceba,[GENERAL_VERB] to trot,,general,,
kusekereza,[GENERAL_VERB] to mock,,general,,
ceeceeba,[GENERAL_NOUN] cebaceba,,general,,
ceke,"[GENERAL_NOUN] weak, feeble",,general,,
cekeca,"[GENERAL_VERB] to dance,leap",,general,,
cwonacwona,[GENERAL_NOUN] completely,,general,,
cekya,[GENERAL_VERB] to weaken,,general,,
cenkacenka/nena,[GENERAL_VERB] to chew,,general,,
cika,[GENERAL_NOUN] discuss thoroughly,,general,,
kubyama,[GENERAL_NOUN] sleep,,general,,
Cukanaho,[GENERAL_NOUN] Get out,,general,,
cukumura,[GENERAL_VERB] to discard,,general,,
kusindika,[GENERAL_VERB] to push,,general,,
kwanga,[GENERAL_VERB] to refuse,,general,,
cumbagira,[GENERAL_VERB] to limp,,general,,
cunduka,[GENERAL_VERB] be corpulent,,general,,
cupa,[GENERAL_NOUN] bottle,,general,,
cuucu,[GENERAL_NOUN] dust,,general,,
cuukun,[GENERAL_NOUN] wean,,general,,
cwamu,[GENERAL_NOUN] settle matters,,general,,
cwanganizaamu,[GENERAL_VERB] to divide,,general,,
cwankuna,[GENERAL_VERB] to chew,,general,,
cweka,[GENERAL_VERB] to break,,general,,
cwekana,[GENERAL_VERB] to succumb,,general,,
cwereeira,[GENERAL_VERB] to invent,,general,,
cakucaku,[GENERAL_NOUN] quickly,,general,,
coroko,[GENERAL_NOUN] soya beans,,agriculture,,
culeezi,[GENERAL_NOUN] quiet,,general,,
dakiika,[GENERAL_NOUN] minute,,general,,
dakitaali/omufumu,[HEALTH_AND_MEDICINE_NOUN] doctor,,health,,
damura/genda,[GENERAL_VERB] to move,,general,,
demba,[GENERAL_NOUN] tolap,,general,,
diini,[GENERAL_NOUN] religion,,general,,
diira,[GENERAL_NOUN] compass,,general,,
dikira,[GENERAL_VERB] to sink,,general,,
dimiryangombe,[GENERAL_NOUN] blue soap,,general,,
dimunadimu,[GENERAL_NOUN] seldom,,general,,
yongeza/kabiri,[GENERAL_VERB] to bubble,,general,,
domya,[GENERAL_VERB] to stupefy,,general,,
cementi,[GENERAL_NOUN] cement,,general,,
dongoro,[GENERAL_NOUN] native soap,,general,,
Dora,[GENERAL_NOUN] Look! Behold!,,general,,
dundukya,[GENERAL_VERB] to tantalize,,general,,
duraamu,[GENERAL_NOUN] barrel,,general,,
duubuuda,[GENERAL_VERB] to waste,,general,,
duuka,[GENERAL_NOUN] shop,,general,,
dubura,[GENERAL_NOUN] drill,,general,,
dai-dai,[GENERAL_NOUN] very hard,,general,,
daburokara,[GENERAL_NOUN] double colour,,general,,
dainingi,[GENERAL_NOUN] dining room,,general,,
dereeva,[TRANSPORT_NOUN] driver,,general,,
deero,"[GENERAL_NOUN] now, today",,general,,
disiko,[GENERAL_NOUN] discotheque,,general,,
doodo,[GENERAL_NOUN] amarinthus,,general,,
ekidomora,[GENERAL_NOUN] jerrycan,,general,,
ebidomora,[GENERAL_NOUN_PLURAL] jerrycans,,general,,
ekidongodongo,[COMMON_ANIMALS_NOUN] a heron,,general,,
ebidongodongo,[COMMON_ANIMALS_NOUN_PLURAL] herons,,general,,
ekifubiro,"[GENERAL_NOUN] punishment, penalty",,general,,
ebifubiro,"[GENERAL_NOUN_PLURAL] punishment, penalties",,general,,
ekifunjo mururuma,[GENERAL_NOUN] large intestine,,general,,
ebifunjo mururuma,[GENERAL_NOUN_PLURAL] large intestines,,general,,
ekigambo,[GENERAL_NOUN] a word,,general,,
ebigambo,[GENERAL_NOUN_PLURAL] words,,general,,
ekidikizo,[GENERAL_NOUN] idiom,,general,,
ebidikizo,[GENERAL_NOUN_PLURAL] idioms,,general,,
ekidongo,[GENERAL_NOUN] a guitar,,general,,
ebidongo,[GENERAL_NOUN_PLURAL] guitars,,general,,
abadoma,[GENERAL_NOUN_PLURAL] stupid persons,,general,,
ebifuba,[GENERAL_NOUN_PLURAL] ekifubas,,general,,
ekifufu,[GENERAL_NOUN] a bruise,,general,,
ebifufu,[GENERAL_NOUN_PLURAL] bruises,,general,,
endoboro/ensahu,[GENERAL_NOUN] a packet,,general,,
endoboro/ensahu,[GENERAL_NOUN_PLURAL] packets,,general,,
ekifunjo,[GENERAL_NOUN] rectum,,general,,
ebifunjo,[GENERAL_NOUN_PLURAL] rectums,,general,,
ebigaali/enegere,[GENERAL_NOUN_PLURAL] wheel barrows,,general,,
ekiganyiro,[GENERAL_NOUN] forgiveness,,general,,
ebiganyiro,[GENERAL_NOUN_PLURAL] forgivenesses,,general,,
ekigarukwamu,[GENERAL_NOUN] answer,,general,,
ebigarukwamu,[GENERAL_NOUN_PLURAL] answers,,general,,
ekigene,[GENERAL_NOUN] joke,,general,,
ebigene,[GENERAL_NOUN_PLURAL] jokes,,general,,
ekigiiko,[GENERAL_NOUN] spoon,,general,,
ebigiiko,[GENERAL_NOUN_PLURAL] spoons,,general,,
ebigega,[GENERAL_NOUN_PLURAL] big baskets,,general,,
ekigigo,[GENERAL_NOUN] molar tooth,,general,,
ebigigo,[GENERAL_NOUN_PLURAL] molar tooths,,general,,
ekikyorooni,[GENERAL_NOUN] latrine,,general,,
ebyorooni,[GENERAL_NOUN_PLURAL] latrines,,general,,
ekijunjuuzi,[GENERAL_NOUN] beetle,,general,,
ebijunjuuzi,[GENERAL_NOUN_PLURAL] beetles,,general,,
ekijwaro,"[GENERAL_NOUN] garment, wear",,general,,
ebijwaro,"[GENERAL_NOUN_PLURAL] garment, wears",,general,,
ekikaijo,[GENERAL_NOUN] sugarcane,,general,,
ebikaijo,[GENERAL_NOUN_PLURAL] sugarcanes,,general,,
ebikaragwe,[GENERAL_NOUN_PLURAL] tree species,,general,,
ebikindo,[GENERAL_NOUN_PLURAL] palm trees,,general,,
ekikeke,[GENERAL_NOUN] pumpkin,,general,,
ebikeke,[GENERAL_NOUN_PLURAL] pumpkins,,general,,
ekikere,"[GENERAL_NOUN] frog, toad",,general,,
ebikere,"[GENERAL_NOUN_PLURAL] frog, toads",,general,,
ekikongoriro,[GENERAL_NOUN] maize cob,,agriculture,,
ebikongoriro,[GENERAL_NOUN_PLURAL] maize cobs,,agriculture,,
ekikohi,[GENERAL_NOUN] eyelid,,general,,
ebikohi,[GENERAL_NOUN_PLURAL] eyelids,,general,,
ekikoikyo,[STORYTELLING_AND_NARRATIVES_NOUN] riddle,,general,,
ebikoikyo,[STORYTELLING_AND_NARRATIVES_NOUN_PLURAL] riddles,,general,,
abalisa,[GENERAL_NOUN_PLURAL] herdsman's whistles,,general,,
ekisoro,[GENERAL_NOUN] an animal,,general,,
ebisoro,[GENERAL_NOUN_PLURAL] animals,,general,,
ekikoosi,[MILITARY_NOUN] a battalion,,general,,
ebikoosi,[MILITARY_NOUN_PLURAL] battalions,,general,,
ekijunzire,[GENERAL_NOUN] rotten thing,,general,,
ebijunzire,[GENERAL_NOUN_PLURAL] rotten things,,general,,
ekika,[GENERAL_NOUN] sub-clan,,general,,
ebika,[GENERAL_NOUN_PLURAL] sub-clans,,general,,
ekikaguzo,[GENERAL_NOUN] question,,general,,
ebikaguzo,[GENERAL_NOUN_PLURAL] questions,,general,,
ekikarango,[GENERAL_NOUN] frying-pan,,general,,
ebikarango,[GENERAL_NOUN_PLURAL] frying-pans,,general,,
ebiijukyo,[GENERAL_NOUN_PLURAL] memorial remembrances,,general,,
ekiisamuhana,[GENERAL_NOUN] large hornbill,,general,,
ebiisamuhana,[GENERAL_NOUN_PLURAL] large hornbills,,general,,
ebijinja,[GENERAL_NOUN_PLURAL] seasonal swamps,,general,,
ekijaju,[GENERAL_NOUN] exaggerated information,,general,,
ebijaju,[GENERAL_NOUN_PLURAL] exaggerated informations,,general,,
ekiihe,[GENERAL_NOUN] severe famine,,general,,
ebiihe,[GENERAL_NOUN_PLURAL] severe famines,,general,,
ebiijongo,[GENERAL_NOUN_PLURAL] crater lakes,,general,,
ekiika,[GENERAL_NOUN] heavy smoke,,general,,
ebiika,[GENERAL_NOUN_PLURAL] heavy smokes,,general,,
ekiikaro,"[GENERAL_NOUN] place, spot",,general,,
ebiikaro,"[GENERAL_NOUN_PLURAL] place, spots",,general,,
ebiju,[GENERAL_NOUN_PLURAL] bird's nests,,general,,
ekyoroni,[GENERAL_NOUN] pit latrine,,general,,
ebyoroni,[GENERAL_NOUN_PLURAL] pit latrines,,general,,
ebiituuru,"[GENERAL_NOUN_PLURAL] shade, shadows",,general,,
ebijogojogo,[GENERAL_NOUN_PLURAL] snail shells,,general,,
ekikaaka,[GENERAL_NOUN] giant,,general,,
ebikaaka,[GENERAL_NOUN_PLURAL] giants,,general,,
ekijaguzo,"[GENERAL_NOUN] festivity, celebration",,general,,
ebijaguzo,"[GENERAL_NOUN_PLURAL] festivity, celebrations",,general,,
emparacuki,[GENERAL_NOUN] swift runner,,general,,
empataniza,[GENERAL_NOUN] space,,general,,
empazi,[TOURISM_NOUN] safari ants,,general,,
empeereza,[GENERAL_NOUN] service,,general,,
empegecu,"[GENERAL_NOUN] gristle, cartilage",,general,,
empere,[GENERAL_NOUN] bed-bug,,general,,
empeta,[GENERAL_NOUN] a ring,,general,,
empiigi,[COMMON_ANIMALS_NOUN] hunting dog,,general,,
empitmpina,[COMMON_ANIMALS_NOUN] chameleon,,general,,
empairimi,[COMMON_ANIMALS_NOUN] male dog,,general,,
empamo,"[GENERAL_NOUN] mourning, lamentation",,general,,
empara,[GENERAL_NOUN] Uganda Cob,,general,,
emparangani,[GENERAL_NOUN] quarrelsome person,,general,,
empata,[GENERAL_NOUN] constipation,,general,,
empekenyu,"[GENERAL_NOUN] gristle, cartilage",,general,,
empiigani,"[GENERAL_NOUN] enmity, persecution",,general,,
enku,[GENERAL_NOUN] firewood,,general,,
enkubebe,[COMMON_ANIMALS_NOUN] worker termite,,general,,
enkubiti,"[GENERAL_NOUN] strength, vigour",,general,,
enkukuni,[GENERAL_NOUN] flea,,general,,
enkumbititi,"[GENERAL_NOUN] multitude, crowd,abundance",,general,,
enkuna,"[GENERAL_NOUN] hospitality, entertaining",,health,,
enkunuukizi,[GENERAL_NOUN] hangnail,,general,,
enkura,[COMMON_ANIMALS_NOUN] rhinoceros,,general,,
enkubirane,[GENERAL_NOUN] repeatedly,,general,,
